Standard Order,Actual Value(Y),Fitted Value(y_hat1),Residual
1.0,37.9,34.387067635531864,3.512932364468135
2.0,42.2,37.53067287409868,4.669327125901326
3.0,47.3,39.08990107242782,8.210098927572176
4.0,54.8,39.08990107242782,15.710098927572176
5.0,43.1,41.17725495083619,1.922745049163808
6.0,32.1,40.649129270756966,-8.549129270756964
7.0,40.3,33.758346587818494,6.541653412181503
8.0,46.7,37.3294821388304,9.370517861169603
9.0,18.8,34.46251416125747,-15.662514161257466
10.0,22.1,37.93305434463523,-15.83305434463523
11.0,41.4,33.68290006209289,7.717099937907108
12.0,58.1,40.85032000602524,17.24967999397476
13.0,39.3,39.165347598153424,0.1346524018465729
14.0,23.8,37.30433329692187,-13.504333296921867
15.0,34.3,39.11504991433636,-4.815049914336363
16.0,50.5,33.45656048491608,17.043439515083918
17.0,70.1,42.43469704626292,27.665302953737076
18.0,37.4,37.9833520284523,-0.5833520284523033
19.0,42.3,38.18454276372058,4.115457236279418
20.0,47.7,42.0574644176349,5.642535582365106
21.0,29.3,41.30299916037886,-12.00299916037886
22.0,51.6,39.79406864586679,11.805931354133214
23.0,24.6,38.73781728570834,-14.137817285708337
24.0,47.9,39.89466401350093,8.00533598649907
25.0,38.8,32.47575565048324,6.324244349516761
26.0,27.0,35.06608636706229,-8.06608636706229
27.0,56.2,41.65508294709835,14.544917052901653
28.0,33.6,39.819217487775326,-6.219217487775325
29.0,47.0,37.60611939982428,9.39388060017572
30.0,57.1,40.649129270756966,16.450870729243036
31.0,22.1,35.92114699195247,-13.821146991952467
32.0,25.0,34.99063984133669,-9.990639841336687
33.0,34.2,32.90328596292832,1.2967140370716805
34.0,49.3,38.285138131354714,11.014861868645283
35.0,55.1,38.56177539234859,16.538224607651408
36.0,27.3,38.939008020976615,-11.639008020976615
37.0,22.9,38.73781728570834,-15.83781728570834
38.0,25.3,39.41683601723877,-14.116836017238771
39.0,47.7,41.65508294709835,6.044917052901653
