Standard Order,Actual Value(Y),Fitted Value(y_hat2),Residual
1.0,37.9,45.23503268564737,-7.33503268564737
2.0,42.2,43.624920520523936,-1.4249205205239335
3.0,47.3,41.77026661017507,5.529733389824926
4.0,54.8,41.77026661017507,13.029733389824926
5.0,43.1,43.01509917655694,0.08490082344306416
6.0,32.1,30.056246926751363,2.043753073248638
7.0,40.3,41.32373322304733,-1.02373322304733
8.0,46.7,43.76284285726615,2.9371571427338523
9.0,18.8,5.822722580573661,12.97727741942634
10.0,22.1,32.90188185332323,-10.80188185332323
11.0,41.4,42.90874643060914,-1.5087464306091434
12.0,58.1,45.19453048088056,12.905469519119443
13.0,39.3,42.276817949106174,-2.9768179491061773
14.0,23.8,27.91673758927026,-4.116737589270258
15.0,34.3,37.392313374993,-3.0923133749930045
16.0,50.5,41.64518648551439,8.854813514485613
17.0,70.1,43.723661910170755,26.37633808982924
18.0,37.4,43.30352535446982,-5.903525354469821
19.0,42.3,43.178002244660426,-0.8780022446604292
20.0,47.7,45.68161966671605,2.0183803332839503
21.0,29.3,29.323890807215843,-0.023890807215842358
22.0,51.6,43.82406122620199,7.775938773798011
23.0,24.6,35.974027431916795,-11.374027431916794
24.0,47.9,43.82406122620199,4.075938773798008
25.0,38.8,42.36057554764926,-3.5605755476492646
26.0,27.0,35.04645284078218,-8.04645284078218
27.0,56.2,43.06379849470825,13.136201505291751
28.0,33.6,43.843840149989184,-10.243840149989182
29.0,47.0,41.802993045792256,5.197006954207744
30.0,57.1,42.574471289805075,14.525528710194926
31.0,22.1,13.029204979741053,9.070795020258949
32.0,25.0,40.263979851795284,-15.263979851795284
33.0,34.2,42.303386891156336,-8.103386891156333
34.0,49.3,43.50102774130282,5.798972258697177
35.0,55.1,44.360041303110485,10.739958696889516
36.0,27.3,16.22648296976695,11.073517030233052
37.0,22.9,31.799291818191215,-8.899291818191216
38.0,25.3,35.974027431916795,-10.674027431916794
39.0,47.7,41.654240811471894,6.045759188528109
40.0,46.2,43.75033542576421,2.44966457423579
41.0,15.9,16.207623421714615,-0.30762342171461476
42.0,18.2,16.319662354079423,1.8803376459205765
43.0,34.7,42.07906937872332,-7.379069378723315
44.0,34.1,42.12754066845382,-8.027540668453817
45.0,53.9,41.97729535632076,11.92270464367924
46.0,38.3,42.301596069227294,-4.001596069227297
47.0,42.0,42.48210888629964,-0.4821088862996419
48.0,61.5,41.198346639808356,20.301653360191644
49.0,13.4,12.404240079534723,0.995759920465277
50.0,13.2,13.09696718339,0.10303281660999986
51.0,44.2,42.12927194155958,2.070728058440423
52.0,20.7,33.081791920111264,-12.381791920111265
53.0,27.0,35.40439210298915,-8.40439210298915
54.0,38.9,42.276817949106174,-3.376817949106176
55.0,51.7,43.75033542576421,7.94966457423579
56.0,13.7,37.42285756409894,-23.72285756409894
57.0,41.9,43.155394025562806,-1.2553940255628078
58.0,53.5,45.44130813917871,8.058691860821291
59.0,22.6,13.09696718339,9.503032816610002
60.0,42.4,43.41099137293068,-1.0109913729306825
61.0,21.3,31.826902138443415,-10.526902138443415
62.0,63.2,43.965757651170165,19.234242348829838
63.0,27.7,30.050095969030792,-2.350095969030793
64.0,55.0,41.97729535632076,13.02270464367924
65.0,25.3,38.62019994392392,-13.320199943923921
66.0,44.3,44.95279973059548,-0.6527997305954827
67.0,50.7,44.44560642630133,6.254393573698671
68.0,56.8,45.090290701471574,11.709709298528423
69.0,36.2,42.480215669442785,-6.280215669442782
