Standard Order,Actual Value(Y),Fitted Value(y_hat3),Residual
1.0,37.9,53.557639415516164,-15.657639415516165
2.0,42.2,50.91998595211179,-8.719985952111784
3.0,47.3,40.36937209849428,6.930627901505716
4.0,54.8,40.36937209849428,14.430627901505716
5.0,43.1,40.36937209849428,2.73062790150572
6.0,32.1,35.094065171685536,-2.994065171685534
7.0,40.3,45.644679025303034,-5.344679025303037
8.0,46.7,43.00702556189866,3.692974438101345
9.0,18.8,29.818758244876786,-11.018758244876786
10.0,22.1,35.094065171685536,-12.994065171685534
11.0,41.4,29.818758244876786,11.581241755123212
12.0,58.1,50.91998595211179,7.180014047888214
13.0,39.3,40.36937209849428,-1.0693720984942843
14.0,23.8,37.73171863508991,-13.931718635089911
15.0,34.3,37.73171863508991,-3.431718635089915
16.0,50.5,32.45641170828116,18.04358829171884
17.0,70.1,43.00702556189866,27.092974438101336
18.0,37.4,29.818758244876786,7.581241755123212
19.0,42.3,48.28233248870741,-5.982332488707414
20.0,47.7,45.644679025303034,2.0553209746969685
21.0,29.3,35.094065171685536,-5.794065171685535
22.0,51.6,45.644679025303034,5.955320974696967
23.0,24.6,29.818758244876786,-5.218758244876785
24.0,47.9,45.644679025303034,2.2553209746969642
25.0,38.8,37.73171863508991,1.068281364910085
26.0,27.0,32.45641170828116,-5.456411708281159
27.0,56.2,40.36937209849428,15.830627901505721
28.0,33.6,40.36937209849428,-6.76937209849428
29.0,47.0,37.73171863508991,9.268281364910088
30.0,57.1,40.36937209849428,16.73062790150572
31.0,22.1,27.18110478147241,-5.081104781472408
32.0,25.0,45.644679025303034,-20.644679025303034
33.0,34.2,29.818758244876786,4.381241755123217
34.0,49.3,43.00702556189866,6.292974438101339
35.0,55.1,45.644679025303034,9.455320974696967
36.0,27.3,27.18110478147241,0.11889521852759088
37.0,22.9,32.45641170828116,-9.55641170828116
38.0,25.3,29.818758244876786,-4.518758244876786
39.0,47.7,43.00702556189866,4.692974438101345
40.0,46.2,40.36937209849428,5.830627901505721
41.0,15.9,27.18110478147241,-11.28110478147241
42.0,18.2,27.18110478147241,-8.98110478147241
43.0,34.7,40.36937209849428,-5.669372098494279
44.0,34.1,43.00702556189866,-8.907025561898656
45.0,53.9,37.73171863508991,16.168281364910086
46.0,38.3,48.28233248870741,-9.982332488707414
